"","","Quote 2 Source","","","","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 3 Source","","","","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 4 Source","","","","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Quote 5 Source","","","","","-9.0","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Funding Source + Conflict of Interest ","First mentioned Funding Source","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Second funding source","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Conflict of Interest ","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Reported","","","0.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
